bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"25.39499501212891,60.67147626545035,26.22384425715031,60.93455865780675",uuuu,85633143,,635022fca4d34c8cd72ab9d4ff940fe1,,1bee2d9809c6f0e406f1f41c6b512967,60.800278,25.821406,907198577,uuuu,FI,FI,1481176828,60.801453,25.788066,0,Orimattila,85683091,907/198/577/907198577.geojson,localadmin,85683091,figov,,,FI
"23.49830669437335,60.63766274490973,24.06324337728226,60.97398918955032",uuuu,85633143,,a07085c4bbcea0db8f55de592c40d970,,c90ef975dbe1abb6d6558579332b1c0d,60.785844,23.832405,907198581,uuuu,FI,FI,1481176828,60.796421,23.837799,0,Tammela,85683077,907/198/581/907198581.geojson,localadmin,85683077,figov,,,FI
"25.00753576117102,60.85435890489741,25.82219453079196,61.15070731937238",uuuu,85633143,,27a88738b84159d15b0e247e13fcef35,,e1f9852f52dca4cb9d6bbcd84f1ca68e,61.006743,25.389559,907198585,uuuu,FI,FI,1481176828,60.988960,25.423575,0,Hollola,85683091,907/198/585/907198585.geojson,localadmin,85683091,figov,,,FI
"24.1254914141609,60.24619821261273,24.64953094730954,60.58580118883248",uuuu,85633143,,39487a5c17eecd8e0c833552375c7227,,c7367f87bd11e83ef48666006150961c,60.408445,24.396762,907198595,uuuu,FI,FI,1481176829,60.395098,24.418376,0,Vihti,85683067,907/198/595/907198595.geojson,localadmin,85683067,figov,,,FI
"24.5248386769138,60.34178336362218,24.97545751974315,60.58886691867887",uuuu,85633143,,bd523ccb14c6743ba4dc8037ad594e8c,,15644226d9648f4e731cd388b958727b,60.461864,24.756265,907198599,uuuu,FI,FI,1481176829,60.445065,24.752867,0,Nurmijarvi,85683067,907/198/599/907198599.geojson,localadmin,85683067,figov,,,FI
"24.56293618620933,60.50812761926008,25.11246180173523,60.68499212104649",uuuu,85633143,,83d7d0c98d6ef837ef09e30fbf8f219a,,c6c87e8b009f7ffa85356162c51d8f71,60.609007,24.820403,907198603,uuuu,FI,FI,1481176829,60.612482,24.839081,0,Hyvinkaa,85683067,907/198/603/907198603.geojson,localadmin,85683067,figov,,,FI
"25.90495905697066,60.49960281651763,26.38020159068253,60.76234540281152",uuuu,85633143,,31488e5586ac3bb2dd38a5e25ad275a3,,050de6496f5bdcde9cf3105b338b884a,60.637137,26.198500,907198607,uuuu,FI,FI,1481176829,60.643813,26.257862,0,Lapinjarvi,85683067,907/198/607/907198607.geojson,localadmin,85683067,figov,,,FI
"20.37754343283206,60.43068457265473,21.54373694253936,60.90180722122651",uuuu,85633143,,9c42b82db04fb140afedc2e700ddcf0b,,3a5f9cee385ba4d8d1e2d52b92df056e,60.660710,21.064942,907198611,uuuu,FI,FI,1481176830,60.582769,21.260226,0,Kustavi,85683073,907/198/611/907198611.geojson,localadmin,85683073,figov,,,FI
"20.43757143842713,60.61674833720711,21.75828260310508,61.1269059310133",uuuu,85633143,,83c5f0852167052b6c085637d11d9229,,453683c6aff2c8f07a5a3a579751582f,60.882614,21.097273,907198615,uuuu,FI,FI,1481176830,60.902973,21.106910,0,Uusikaupunki,85683073,907/198/615/907198615.geojson,localadmin,85683073,figov,,,FI
"25.99192570346814,60.74784387556348,26.54496810305741,61.15548546302558",uuuu,85633143,,5d7b561b0cbe4ba8dd626a1342dc87be,,38b82d1eb118e479f61363466d4da2fa,60.935874,26.280210,907198619,uuuu,FI,FI,1481176830,60.895079,26.277185,0,Iitti,85683081,907/198/619/907198619.geojson,localadmin,85683081,figov,,,FI
"25.07290062435359,60.35907424711039,25.16358930122255,60.4429878069111",uuuu,85633143,,43ce8b53ea417473742a9cf5579b871e,,86f4ebd0bcf9d4c432502095bb33197a,60.399277,25.118714,907198627,uuuu,FI,FI,1481176831,60.398886,25.115053,0,Kerava,85683067,907/198/627/907198627.geojson,localadmin,85683067,figov,,,FI
"24.86619027365521,60.33244914674481,25.15350812438194,60.58063957877285",uuuu,85633143,,cc4ca26d0fd847dba554465613cd081f,,50cc3dcef6443b943274acb7cbbacbb5,60.451974,25.002058,907198631,uuuu,FI,FI,1481176831,60.423853,24.990165,0,Tuusula,85683067,907/198/631/907198631.geojson,localadmin,85683067,figov,,,FI
"21.36561744864451,60.46641068107882,21.78307646663695,60.64059051118586",uuuu,85633143,,60c919e44d3b2e96c8ac0cb2c77e72f8,,97cc1efa4cfacb84d03d1827097dc29b,60.559079,21.584791,907198635,uuuu,FI,FI,1481176831,60.543959,21.584793,0,Taivassalo,85683073,907/198/635/907198635.geojson,localadmin,85683073,figov,,,FI
"25.03853389137666,60.4429087174798,25.16930045140024,60.51673095185423",uuuu,85633143,,5d8002de87b120d9dada7a60b776293c,,8ff2f87c89211ada05a80e6e1a3ac08a,60.480510,25.100428,907198639,uuuu,FI,FI,1481176831,60.474412,25.095144,0,Jarvenpaa,85683067,907/198/639/907198639.geojson,localadmin,85683067,figov,,,FI
"21.50600445644323,60.571257484766,21.81537383085289,60.75929134760821",uuuu,85633143,,99c8af697aef0701f2d73f0fe64cea21,,8fa0fb9de3b35c5fdf5ec26a491d4012,60.673933,21.683475,907198643,uuuu,FI,FI,1481176831,60.679719,21.683425,0,Vehmaa,85683073,907/198/643/907198643.geojson,localadmin,85683073,figov,,,FI
"25.5403067224332,60.88664883150108,26.16898239739508,61.10266628340796",uuuu,85633143,,926cfd284f3110ed248475751aaaef48,,f6efdd279cf53175fe991d28dfd2b897,60.989800,25.864621,907198647,uuuu,FI,FI,1481176831,60.988992,25.889871,0,Lahti,85683091,907/198/647/907198647.geojson,localadmin,85683091,figov,,,FI
"26.44783952005636,60.17132863246899,26.87533645880259,60.65236751795714",uuuu,85633143,,a541e444bbe05a79c33797c6473930ec,,fd70b6c951ff51fb8bee3c8dbd14fb67,60.408043,26.682350,907198651,uuuu,FI,FI,1481176831,60.418391,26.699637,0,Pyhtaa,85683081,907/198/651/907198651.geojson,localadmin,85683081,figov,,,FI
